"scientific_name","hosts"
"Thrips palmi","Abelmoschus esculentus (okra), Ageratum, Allium cepa (onion), Amaranthus spinosus (spiny amaranth), Argemone mexicana (Mexican poppy), Benincasa hispida (wax gourd), Bidens pilosa (blackjack), Brassica rapa (field mustard), Canavalia ensiformis (jack bean), Capsella bursa-pastoris (shepherd's purse), Capsicum (peppers), Capsicum annuum (bell pepper), Cerastium glomeratum, Chrysanthemum (daisy), Citrullus, Citrullus lanatus (watermelon), Citrus, Cucumis (melons, cucuimbers, gerkins), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita (pumpkin), Cucurbita maxima (giant pumpkin), Cucurbita moschata (pumpkin), Cucurbita pepo (marrow), Cucurbitaceae (cucurbits), Datura metel (Hindu datura), Dendrobium, Eucalyptus, Fabaceae (leguminous plants), Ficus racemosa (cluster tree), Fragaria vesca (wild strawberry), Glycine max (soyabean), Gossypium (cotton), Helianthus (sunflower), Helianthus annuus (sunflower), Hibiscus (rosemallows), Lactuca sativa (lettuce), Luffa acutangula (angled luffa), Macrotyloma uniflorum (horsegram), Mangifera indica (mango), Momordica charantia (bitter gourd), Momordica spp., Nicotiana tabacum (tobacco), Ocimum, Orchidaceae (orchids), Oryza sativa (rice), Parthenium hysterophorus (parthenium weed), Persea americana (avocado), Phaseolus (beans), Phaseolus vulgaris (common bean), Sauropus androgynus, Sesamum indicum (sesame), Solanaceae, Solanum (nightshade), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Vicia faba (faba bean), Vicia sativa (common vetch), Vigna angularis (adzuki bean), Vigna radiata (mung bean), Vigna unguiculata (cowpea), Vitis vinifera (grapevine)"
"Xiphinema index","Abelmoschus esculentus (okra), Ampelopsis aconitifolia (monkhood-vine), Anacardium occidentale (cashew nut), Betula (birches), Chenopodium giganteum (large lambsquarters), Chenopodium quinoa (quinoa), Citrus, Citrus aurantium (sour orange), Cupressus pyramidalis, Cydonia oblonga (quince), Fagus silvaticus, Ficus carica (common fig), Gomphrena globosa (globe amaranth), Jasmium officinale, Juglans regia (walnut), Malus domestica (apple), Malus sylvestris (crab-apple tree), Mangifera indica (mango), Morus alba (mora), Nicotiana rustica (wild tobacco), Olea europaea subsp. europaea (European olive), Opuntia sp. (pricklypear), Oryza sativa (rice), Parthenicissus tricuspidata, Petunia hybrida, Phaseolus vulgaris (common bean), Pinus halepensis (Aleppo pine), Pinus sp. (pine), Pistacia mutica, Pistacia vera (pistachio), Populus sp. (poplar), Prunus amygdalus, Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus domestica (plum), Prunus persica (peach), Prunus salicina (Japanese plum), Pyrus communis (European pear), Pyrus persica, Quercus lucombeana, Rosa (roses), Salix tetrasperma, Solanum lycopersicum (tomato), Solanum nigrum (black nightshade), Solanum tuberosum (potato), Thuja, Urtica urens (annual nettle), Vitis (grape), Vitis arizonica (canyon grape (USA)), Vitis candicans (Mustang grape), Vitis rupestris (sand-grape), Vitis vinifera (grapevine), Vitis vinifera X Muscadinia rotundifolia"
"Melilotus albus","Solanum lycopersicum (tomato), Triticum aestivum (wheat)"
"Xanthomonas fragariae","Fragaria (strawberry), Fragaria ananassa (strawberry)"
"Pterophylla beltrani","Acacia farnesiana, Amaranthus, Aphananthe monoica, Arbutus xalapensis, Bauhinia divaricata, Brahea dulcis, Bumelia lanuginosa [Sideroxylon lanuginosum], Caesalpinia, Carya illinoensis [Carya illinoinensis], Carya myristiciformis, Carya ovata, Carya palmeri, Celtis pallida, Cercis canadensis, Chiococca pachyphylla, Citharexylum berlandieri, Citrus, Clematis, Cnidoscolus multilobus, Cnidoscolus texanus, Colubrina greggii, Cordia boissieri, Cornus florida, Cupressus, Diospyros, Ebenopsis ebano, Ehretia anacua, Eupatorium pycnocephalum, Ficus cotinifolia, Flourensia laurifolia, Garrya ovata, Guazuma ulmifolia, Helianthus, Juglans mollis, Juniperus, Karwinskia humboldtiana, Lantana, Leucaena, Licaria triandra, Malus, Mangifera indica, Mariosousa coulteri, Mimosa, Nicotiana glauca, Opuntia, Parthenium, Persea americana, Physeter, Pinus moctezumae, Pinus pseudostrobus, Pinus teocote, Platanus occidentalis, Populus, Populus alba, Prosopis glandulosa, Prunus persica, Psidium, Pyrus, Quercus canbyi, Quercus fusiformis, Quercus laceyi, Quercus laeta, Quercus polymorpha, Quercus rugosa, Quercus rysophylla, Quercus sartorii [Quercus xalapensis], Randia aculeata, Randia laetevirens, Ricinus, Salix babylonica, Sargentia greggii [Casimiroa greggii], Sassafras albidum, Senegalia wrightii, Sorghum bicolor, Sorghum vulgare [Sorghum bicolor], Taxodium mucronatum, Ungnadia speciosa, Zea mays"
"Lymantria dispar","Abies balsamea (balsam fir), Acacia (wattles), Acer (maples), Acer negundo (box elder), Acer pensylvanicum (striped maple), Acer platanoides (Norway maple), Acer rubrum (red maple), Acer saccharinum (silver maple), Acer saccharum (sugar maple), Acer spicatum (Mountain maple), Acer velutinum, Alnus (alders), Alnus alnobetula (green alder), Alnus glutinosa (European alder), Alnus incana (grey alder), Alnus maritima, Alnus oblongifolia, Alnus rubra (red alder), Alnus serrulata, Amelanchier (serviceberries), Amelanchier canadensis (thicket serviceberry), Amelanchier intermedia, Aronia melanocarpa (black chokeberry), Azaleas, Berberis vulgaris (European barberry), Betula (birches), Betula alleghaniensis (yellow birch), Betula davurica (mongolian birch), Betula lenta (sweet birch), Betula nigra (river birch), Betula occidentalis (Water birch), Betula papyrifera (paper birch), Betula pendula (common silver birch), Betula populifolia (gray birch), Betula pubescens (Downy birch), Betula pumila (low birch), Carpinus (hornbeams), Carpinus caroliniana (American hornbeam), Carya (hickories), Carya cordiformis (bitternut hickory), Carya glabra (Pignut hickory), Carya ovata (shagbark hickory), Carya tomentosa, Castanea (chestnuts), Castanea dentata (American chestnut), Castanea sativa (chestnut), Cedrus (cedars), Cedrus libani (cedar of Lebanon), Celtis occidentalis (hackberry), Chamaecyparis thyoides (Atlantic white cedar), Clethra alnifolia, Comptonia peregrina (sweetfern), Cornus (Dogwood), Cornus florida (Flowering dogwood), Cornus sericea (redosier dogwood), Corylus, Corylus americana (American hazel), Corylus avellana (hazel), Corylus cornuta (beaked hazel), Corylus heterophylla (siberian hazel), Cotinus coggygria (fustet), Cotinus obovatus, Crataegus (hawthorns), Cydonia oblonga (quince), Diospyros (malabar ebony), Diospyros virginiana (persimmon (common)), Eubotrys racemosa, Eucalyptus, Eucalyptus camaldulensis (red gum), Fagus (beeches), Fagus grandifolia (American beech), Fagus sylvatica (common beech), Fraxinus (ashes), Fraxinus americana (white ash), Fraxinus nigra (black ash), Fraxinus pennsylvanica (downy ash), Fraxinus quadrangulata (Blue ash), Gaultheria procumbens (Aromatic wintergreen), Gaylussacia baccata (black huckleberrry (USA)), Gaylussacia frondosa (Dangleberry), Gleditsia triacanthos (honey locust), Gymnocladus dioica, Hamamelis virginiana (Virginian witch-hazel), Ilex laevigata, Ilex opaca (American holly), Iris versicolor, Juglans (walnuts), Juglans cinerea (butternut), Juglans nigra (black walnut), Juniperus communis (common juniper), Juniperus virginiana (eastern redcedar), Kalmia angustifolia (Sheep laurel), Kalmia latifolia (Mountain laurel), Larix (larches), Larix decidua (common larch), Larix gmelinii (Dahurian larch), Larix kaempferi (Japanese larch), Larix laricina (American larch), Larix lyallii (subalpine larch), Larix occidentalis (western larch), Lespedeza bicolor (bicolor lespedeza), Ligustrum vulgare (common privet), Liquidambar styraciflua (Sweet gum), Liriodendron tulipifera (tuliptree), Litchi chinensis (lichi), Lithocarpus edulis, Lyonia ligustrina, Maackia amurensis, Malus (ornamental species apple), Malus angustifolia, Malus coronaria (sweet crab-apple), Malus domestica (apple), Malus fusca, Malus ioensis (prairie crab-apple), Morus alba (mora), Myrica caroliniensis, Myrica gale (waxberry), Nyssa sylvatica (tupelo), Ostrya carpinifolia (hop-hornbeam), Ostrya virginiana (American hophornbeam), Parrotia persica (persian ironwood), Picea (spruces), Picea abies (common spruce), Picea engelmannii (Engelmann spruce), Picea glauca (white spruce), Picea jezoensis (Yeddo spruce), Picea mariana (black spruce), Picea rubens (red spruce), Pinus (pines), Pinus armandii (armand's pine), Pinus brutia (brutian pine), Pinus contorta (lodgepole pine), Pinus echinata (shortleaf pine), Pinus monticola (western white pine), Pinus radiata (radiata pine), Pinus resinosa (red pine), Pinus rigida (pitch pine), Pinus strobus (eastern white pine), Pinus sylvestris (Scots pine), Pinus sylvestris var. mongolica, Pinus tabuliformis (chinese pine), Pinus taeda (loblolly pine), Pistacia vera (pistachio), Platanus acerifolia (London planetree), Platanus occidentalis (sycamore), Populus (poplars), Populus alba (silver-leaf poplar), Populus angustifolia (narrow-leaved poplar), Populus balsamifera (balm of Gilead), Populus deltoides (poplar), Populus grandidentata (Bigtooth aspen), Populus heterophylla (Swamp cottonwood), Populus nigra (black poplar), Populus nigra var. italica, Populus tremuloides (trembling aspen), Prunus (stone fruit), Prunus americana (American plum), Prunus armeniaca (apricot), Prunus avium (sweet cherry), Prunus cerasifera (myrobalan plum), Prunus cerasus (sour cherry), Prunus domestica (plum), Prunus maritima (beach plum), Prunus pensylvanica (pin cherry), Prunus salicina (Japanese plum), Prunus serotina (black cherry), Prunus serrulata (Japanese flowering cherry), Prunus virginiana (common chokecherrytree), Pseudotsuga menziesii (Douglas-fir), Pyrus calleryana (bradford pear), Pyrus communis (European pear), Pyrus ussuriensis (amur pear), Quercus (oaks), Quercus alba (white oak), Quercus austrina, Quercus bicolor (swamp white oak), Quercus castaneifolia, Quercus cerris (European Turkey oak), Quercus coccinea (scarlet oak), Quercus ellipsoidalis (Northern pin oak), Quercus garryana (Garry oak), Quercus ilex (holm oak), Quercus ilicifolia (bear oak), Quercus imbricaria (Shingle oak), Quercus lobata (California white oak), Quercus macrocarpa (mossy-cup oak), Quercus michauxii (Swamp chestnut oak), Quercus mongolica (Mongolian oak), Quercus montana (basket oak), Quercus muehlenbergii (Chinquapin oak), Quercus palustris (pin oak), Quercus petraea (durmast oak), Quercus prinoides (Dwarf chinquapin oak), Quercus robur (common oak), Quercus rubra (northern red oak), Quercus stellata (Post oak), Quercus suber (cork oak), Quercus velutina (black oak), Rhus copallina (Shining sumac), Rhus copallinum, Rhus glabra (smooth sumac), Rhus typhina (staghorn sumac), Ribes rubrum (red currant), Robinia (locust), Robinia pseudoacacia (black locust), Rosa (roses), Rosa rubiginosa (sweet briar), Rosa virginiana (Virginia rose), Rubus (blackberry, raspberry), Rumex crispus (curled dock), Salix (willows), Salix alba (white willow), Salix babylonica (weeping willow), Salix discolor, Salix exigua (sandbar willow), Salix fragilis (crack willow), Salix nigra (black willow), Sambucus canadensis (American black elderberry), Sassafras, Sassafras albidum (common sassafras), Sorbus americana (American mountainash), Sorbus aucuparia (mountain ash), Spiraea tomentosa (Hardhack), Symplocarpus foetidus, Taxodium distichum (bald cypress), Thuja occidentalis (Eastern white cedar), Tilia (limes), Tilia americana (basswood), Tilia cordata (small-leaf lime), Toxicodendron radicans (poison ivy), Tsuga (hemlocks), Tsuga canadensis (eastern hemlock), Ulmus (elms), Ulmus americana (American elm), Ulmus glabra (mountain elm), Ulmus rubra (slippery elm), Vaccinium (blueberries), Vaccinium angustifolium (Lowbush blueberry), Vaccinium corymbosum (blueberry), Vaccinium macrocarpon (cranberry), Vaccinium vacillans, Viburnum acerifolium (Mapleleaf viburnum), Viburnum dentatum (Arrowwood viburnum), Viburnum lentago (Sheepberry), Viburnum opulus (Guelder rose), Vitis labrusca (fox grape)"
"Coccinella septempunctata","Malus domestica (apple), Pinus sylvestris (Scots pine)"
"Aphis citricidus","Citrus, Citrus aurantiifolia (lime), Citrus aurantium (sour orange), Citrus limon (lemon), Citrus maxima (pummelo), Citrus medica (citron), Citrus reticulata (mandarin), Citrus reticulata x paradisi (tangelo), Citrus sinensis (sweet orange), Citrus unshiu (satsuma), Citrus x paradisi (grapefruit), Tetradium ruticarpum"
"Scirtothrips aurantii","Acacia (wattles), Arachis hypogaea (groundnut), Asparagus officinalis (asparagus), Caesalpinia pulcherrima (peacock flower), Camellia sinensis (tea), Citrus, Citrus limon (lemon), Citrus sinensis (sweet orange), Complyomma, Gloriosa superba (glory lily), Gossypium (cotton), Grevillea robusta (silky oak), Kalanchoe delagoensis (chandelier plant), Kalanchoe pinnata (cathedral bells), Macadamia integrifolia (macadamia nut), Mangifera indica (mango), Musa (banana), Musa x paradisiaca (plantain), Punica granatum (pomegranate), Ricinus communis (castor bean), Vitis vinifera (grapevine)"
"Oryza rufipogon","Oryza sativa (rice)"
"Orobanche ramosa","Allium cepa (onion), Apium graveolens (celery), Arachis hypogaea (groundnut), Brassica, Brassica campestris, Brassica napus, Brassica napus var. oleifera, Brassica oleracea var. botrytis (cauliflower), Cannabis sativa (hemp), Capsicum annuum (bell pepper), Carthamus tinctorius (safflower), Carum carvi (caraway), Cicer arietinum (chickpea), Citrullus lanatus (watermelon), Coriandrum sativum (coriander), Cucumis melo (melon), Cucumis sativus (cucumber), Cucurbita (pumpkin), Daucus carota (carrot), Foeniculum vulgare (fennel), Helianthus annuus (sunflower), Lactuca sativa (lettuce), Lens culinaris, Lens culinaris subsp. culinaris (lentil), Medicago lupulina (black medick), Nicotiana tabacum (tobacco), Pastinaca sativa (parsnip), Pisum sativum (pea), Prunus armeniaca (apricot), Sinapis arvensis (wild mustard), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Trachyspermum ammi, Trifolium (clovers), Trifolium alexandrinum (Berseem clover), Trigonella foenum-graecum (fenugreek), Vicia (vetch), Vicia faba (faba bean)"
"Commelina benghalensis","Agave sisalana (sisal hemp), Ananas comosus (pineapple), Arachis hypogaea (groundnut), Brassica napus var. napus (rape), Camellia sinensis (tea), Capsicum frutescens (chilli), Chrysanthemum (daisy), Citrus, Citrus limon (lemon), Citrus sinensis (sweet orange), Coffea arabica (arabica coffee), Corchorus olitorius (jute), Glycine max (soyabean), Gossypium hirsutum (Bourbon cotton), Guizotia abyssinica (niger), Hevea brasiliensis (rubber), Hibiscus sabdariffa (Roselle), Hordeum vulgare (barley), Ipomoea batatas (sweet potato), Manihot esculenta (cassava), Momordica charantia (bitter gourd), Musa (banana), Oryza sativa (rice), Phaseolus vulgaris (common bean), Prunus armeniaca (apricot), Prunus persica (peach), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Sorghum bicolor (sorghum), Vigna radiata (mung bean), Vigna unguiculata (cowpea), Vitis (grape), Vitis vinifera (grapevine), Zea mays (maize)"
"Neoconocephalus affinis","Calathea lutea (calathea), Dracaena, Elaeis guineensis (African oil palm), Musa (banana)"
"Datura stramonium","Ananas comosus (pineapple), Beta vulgaris (beetroot), Cucumis (melons, cucuimbers, gerkins), Glycine max (soyabean), Gossypium (cotton), Gossypium hirsutum (Bourbon cotton), Helianthus annuus (sunflower), Hordeum vulgare (barley), Manihot esculenta (cassava), Medicago sativa (lucerne), Musa (banana), Phaseolus vulgaris (common bean), Pisum sativum (pea), Saccharum officinarum (sugarcane), Solanum lycopersicum (tomato), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Triticum aestivum (wheat), Vigna (cowpea), Vitis vinifera (grapevine), Zea mays (maize)"
"Macrocopturus aguacatae","Persea americana (avocado)"
"Ipomoea quamoclit","Arachis hypogaea (groundnut), Citrus, Gossypium hirsutum (Bourbon cotton)"
"Coccinia grandis","Oryza sativa (rice), Saccharum officinarum (sugarcane)"
"Chenopodiastrum murale","Allium cepa (onion), Allium sativum (garlic), Apium graveolens (celery), Beta vulgaris (beetroot), Brassica juncea var. juncea (Indian mustard), Brassica oleracea var. botrytis (cauliflower), Brassica oleracea var. capitata (cabbage), Brassica oleracea var. italica (broccoli), Carthamus tinctorius (safflower), Cicer arietinum (chickpea), Citrus, Cucurbita maxima (giant pumpkin), Cuminum cyminum (cumin), Daucus carota (carrot), Glycine max (soyabean), Gossypium hirsutum (Bourbon cotton), Helianthus annuus (sunflower), Hordeum vulgare (barley), Linum usitatissimum (flax), Medicago sativa (lucerne), Nicotiana tabacum (tobacco), Opuntia ficus-indica (prickly pear), Oryza sativa (rice), Phaseolus vulgaris (common bean), Plantago ovata (spogel plantain), Raphanus sativus (radish), Saccharum officinarum (sugarcane), Sesamum indicum (sesame), Solanum lycopersicum (tomato), Solanum melongena (aubergine), Solanum tuberosum (potato), Sorghum bicolor (sorghum), Spinacia oleracea (spinach), Trigonella foenum-graecum (fenugreek), Triticum (wheat), Vicia faba (faba bean), Zea mays (maize)"
